"nom_variable";"annee";"libelle";"type.d.indicateur";"flottille";"metier";"espece";"indicateur";"unite";"remarques"
"v__nbv_f";"1984";"Nombre de navires par flottille";"caractéristiques techniques cumulées";"f__Haliotis";"";"";"5";"nombre";"FPC"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Haliotis";"m__Filet_COR";"";"5";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Haliotis";"m__Filet_DP";"";"5";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Haliotis";"m__Autres";"";"5";"nombre";"FPC + sacrois"
"v__nbv_f_m";"1984";"Nombre de navire par flottille - métier";"caractéristiques techniques cumulées";"f__Haliotis";"m__Palangre_DP";"";"5";"nombre";"FPC + sacrois"
"v__kW_f";"1984";"kW total flottille";"caractéristiques techniques cumulées";"f__Haliotis";"";"";"100";"nombre";"FPC"
"v__GT_f";"1984";"GT total flottille";"caractéristiques techniques cumulées";"f__Haliotis";"";"";"684";"nombre";"FPC"
"v__cnb_f";"1984";"Effectif moyen par navire d'une flottille";"caractéristiques techniques moyennes";"f__Haliotis";"";"";"3";"nombre";"FPC + activité"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Filet_COR";"";"3";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Filet_DP";"";"3";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Autres";"";"3";"nombre";"FPC + activité + sacrois"
"v__cnb_f_m";"1984";"Effectif moyen par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Palangre_DP";"";"3";"nombre";"FPC + activité + sacrois"
"v__FTE_f";"1984";"ETP par navire d'une flottille";"caractéristiques techniques moyennes";"f__Haliotis";"";"";"2.316";"nombre";"FPC + activité"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Filet_COR";"";"0.426";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Filet_DP";"";"0.558";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Autres";"";"0.6";"nombre";"FPC + activité + sacrois"
"v__FTE_f_m";"1984";"ETP par navire d'une flottille - métier";"caractéristiques techniques moyennes";"f__Haliotis";"m__Palangre_DP";"";"0.732";"nombre";"FPC + activité + sacrois"
"v__nbds_f";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille par an";"activité";"f__Haliotis";"";"";"193";"jours";"sacrois"
"v__nbds_f_m";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Filet_COR";"";"35.5";"jours";"sacrois"
"v__nbds_f_m";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Filet_DP";"";"46.5";"jours";"sacrois"
"v__nbds_f_m";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Autres";"";"50";"jours";"sacrois"
"v__nbds_f_m";"1984";"Nombre moyen de Jours de Mer par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Palangre_DP";"";"61";"jours";"sacrois"
"v__nbTrip_f";"1984";"Nombre moyen de Marées par navire d'une flottille par an";"activité";"f__Haliotis";"";"";"193";"marees";"sacrois"
"v__nbTrip_f_m";"1984";"Nombre moyen de Marées par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Filet_COR";"";"36";"marees";"sacrois"
"v__nbTrip_f_m";"1984";"Nombre moyen de Marées par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Filet_DP";"";"47";"marees";"sacrois"
"v__nbTrip_f_m";"1984";"Nombre moyen de Marées par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Autres";"";"50";"marees";"sacrois"
"v__nbTrip_f_m";"1984";"Nombre moyen de Marées par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Palangre_DP";"";"61";"marees";"sacrois"
"v__tripLgth_f";"1984";"Durée moyenne d'une marée par navire d'une flottille par an";"activité";"f__Haliotis";"";"";"8.88350462923639";"heures";"sacrois"
"v__tripLgth_f_m";"1984";"Durée moyenne d'une marée par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Filet_COR";"";"9.10564663023679";"heures";"sacrois"
"v__tripLgth_f_m";"1984";"Durée moyenne d'une marée par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Filet_DP";"";"6.88524590163934";"heures";"sacrois"
"v__tripLgth_f_m";"1984";"Durée moyenne d'une marée par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Autres";"";"7.94606557377049";"heures";"sacrois"
"v__tripLgth_f_m";"1984";"Durée moyenne d'une marée par navire d'une flottille - métier par an";"activité";"f__Haliotis";"m__Palangre_DP";"";"10.9148078473529";"heures";"sacrois"
"v__Lref_f";"1984";"Débarquements de référence par flottille";"Production";"f__Haliotis";"";"";"195.92015";"tonnes/an";"Sacrois"
"v__Lref_f_m";"1984";"Débarquements de référence par flottille - métier";"Production";"f__Haliotis";"m__Filet_COR";"";"40.043";"tonnes/an";"Sacrois"
"v__Lref_f_m";"1984";"Débarquements de référence par flottille - métier";"Production";"f__Haliotis";"m__Filet_DP";"";"37.1582";"tonnes/an";"Sacrois"
"v__Lref_f_m";"1984";"Débarquements de référence par flottille - métier";"Production";"f__Haliotis";"m__Autres";"";"38.83035";"tonnes/an";"Sacrois"
"v__Lref_f_m";"1984";"Débarquements de référence par flottille - métier";"Production";"f__Haliotis";"m__Palangre_DP";"";"79.8886";"tonnes/an";"Sacrois"
